First Name,Last Name,Email Address,Company,Position,Connected On
Jeffrey,Bennett,jimenezmichael@gmail.com,VOLL,Corporate Mobility Specialist,16 Apr 2021
Michael,Gillespie,wgardner@gmail.com,Delog - Transporte E Logistica,Gerente de logística,16 Apr 2021
Jasmin,Anderson,richard55@reyes.com,Tecnifox Indústria e Comércio Ltda,Orçamentista Técnico,15 Apr 2021
Jacob,Potter,wyatteric@joyce.com,Unisinos,Orientadora de Carreira - Psicóloga,14 Apr 2021
Ashley,Salazar,umiller@yahoo.com,Recrutamento e Seleção,Recursos Humanos,13 Apr 2021
Catherine,Hill,jenniferanderson@kelley-miller.com,Grupo Tracbel,Consultor Comercial de Peças,01 Apr 2021
Morgan,Smith,cliffordneal@yahoo.com,Sicoob Nossacoop,Representante de atendimento ao cliente,31 Mar 2021
Michael,Rivera,shughes@gmail.com,Universidade Federal de Minas Gerais,Professora Associada,31 Mar 2021
Megan,Mitchell,zhill@donaldson.com,Plan B Comunicação,Consultor financeiro / Comercial,31 Mar 2021
Mary,Torres,michael41@hotmail.com,Petrominas,Comercial,25 Mar 2021
Kristin,Smith,linmarc@stone.com,PUR EQUIPAMENTOS INDUSTRIAIS LTDA,Inspetor de qualidade,23 Mar 2021
David,Price,anthony09@yahoo.com,Mech4u - Manufatura Inteligente,CEO,16 Mar 2021
Brian,Martin,victoria51@chase.com,Metalsider,Controle de planejamento,15 Mar 2021
Charles,Lin,oscott@yahoo.com,Anglo American,Analista de Gestão de Materiais,15 Mar 2021
Nathan,Allen,lmartinez@yahoo.com,RHI Magnesita,TÉCNICO PLANEJAMENTO MANUTENCAO PL ,05 Mar 2021
Crystal,Bowers,marshalljohn@farrell.info,,,
James,Peterson,adrianathomas@castillo.biz,Grupo Carmo Alves Empreendimentos Imobiliários LTDA,Assessora Jurídica e Financeira,03 Mar 2021
Jacob,Baldwin,peterjohnson@yahoo.com,ImTraff - Consultoria e Projetos de Engenharia,Estagiário,02 Mar 2021
Patricia,Booth,riverajeremy@cantrell.com,Agile Project Educação e Treinamentos,Gestão da empresa,28 Feb 2021
Jeffery,Vincent,martinthomas@brown.info,Mezzanino Engenharia e Consultoria,Estagiário de engenharia,25 Jan 2021
Alicia,Whitaker,andreamullins@hickman.com,Progen S.A.,Técnico civil II,25 Jan 2021
Heather,Mcintosh,dixonamanda@figueroa.com,SMS group GmbH,Technical Analyst,22 Jan 2021
Erica,Hale,linda81@bowers.biz,COACHR RECURSOS HUMANOS LTDA,Gerente de projetos,21 Jan 2021
Chris,King,dannywaters@gmail.com,MG Sports,Vendedor,18 Jan 2021
Danielle,Yang,brandon57@yahoo.com,Arbitrium Sports,Sócio,18 Jan 2021
Patricia,Ortiz,mcdonalddaniel@baker.com,Rock Minas Peças e Usinagem LTDA,Projetista,13 Jan 2021
David,Smith,harrisnoah@hotmail.com,,,05 Jan 2021
Phillip,Jackson,jeremy66@wilkinson.com,Allugator,Senior Inside Sales,05 Jan 2021
Austin,Rodgers,heather33@hotmail.com,,,
Linda,Ray,craigcherry@norris.com,MOBA do Brasil,Consultor de Suporte ao Produto,09 Dec 2020
Alan,Stevens,mhernandez@sanders.com,Hospital Metropolitano Odilon Behrens,Supervisor de portaria e recepção,08 Dec 2020
Nicholas,Vaughn,jennifermartin@wilkerson-walker.com,Universidade Federal de Minas Gerais,Professor Pesquisador,07 Dec 2020
Eric,Brown,mbarry@hotmail.com,JAT Transportes e Logistica S.A.,lider operacional,07 Dec 2020
Richard,Lindsey,mitchell79@yahoo.com,Tecnifox Indústria e Comércio Ltda,Técnica da Qualidade,24 Nov 2020
Sheryl,King,galvanjesse@gmail.com,Motorola Mobility (a Lenovo Company),Machine Learning Advisory Engineer,23 Nov 2020
Richard,Smith,bentonkimberly@garcia.net,The discipline Languages,Professor de idiomas - Inglês e Francês,23 Nov 2020
Scott,Woods,willissteven@hansen.org,Construções Pirâmides,Empresario,14 Nov 2020
Timothy,Davis,larryvillegas@hotmail.com,RHI Magnesita,Especialista Engenharia,10 Nov 2020
John,Sharp,davisjessica@lawrence.com,Vetta,Talent Acquisition Coordinator,30 Oct 2020
Heather,Romero,ubowers@garcia.com,Ânima Educação,Diretor de operações Minas Gerais e Goiás na Anima Educação,27 Oct 2020
Brent,Jones,jillhernandez@yahoo.com,MRV,Analista de projetos,26 Oct 2020
Alexis,Diaz,dawntorres@gmail.com,Mineração Taboca S.A.,Analista operacional jr,25 Oct 2020
Kyle,Smith,amyrobbins@white-fisher.com,ArcelorMittal Brasil,Técnico III - Central de Planejamento,21 Oct 2020
Jessica,Carter,brittany30@butler-miller.com,FCA Fiat Chrysler Automobiles,Coordenador RDE (Real Drive Emissions),21 Oct 2020
Andrew,Richards,susancalhoun@hotmail.com,Cervejaria Ambev,Coordenador de Franquias Premium,20 Oct 2020
Erin,Schmidt,ricardo99@jones.biz,Ambev,Supervisor de Customer Experience,20 Oct 2020
Katherine,Morris,mark13@murray-parker.com,Gade Engenharia e projetos,Arquiteta e urbanista ,20 Oct 2020
Gina,Bryant,connie06@hotmail.com,MARINA CONSTRUTORA,Engenheira Civil / Diretora,20 Oct 2020
Nicole,Williams,gfreeman@gmail.com,Isamar Transportes Urgentes LTDA,Operations Manager,20 Oct 2020
