Company,Position,Connected On,Full Name,ano,mes,mes_n,Latitude,Longitude
Sonastério,Coordenador de projetos,2019-01-20,Madison Patel,2019,Janeiro,1,-20.101491,-43.928009
BN Express,CEO,2019-01-19,Debbie Huber,2019,Janeiro,1,40.6398574,-73.9779319
Toro - Investimentos,Senior Talent Acquisition,2019-01-18,Tracie Baker,2019,Janeiro,1,-19.9353313,-43.9297169
FIEMG,Coordenadora de Educação Corporativa,2019-01-18,Kevin Miller,2019,Janeiro,1,-19.9332315,-43.9247363
Instituto Defesa Coletiva,Analista Administrativo,2019-01-17,Caleb Alvarez,2019,Janeiro,1,-19.9300531,-43.9325931
www.RogerLessa.com,CEO,2019-01-17,Christian Thompson,2019,Janeiro,1,-18.9566253,-48.2715755
União Equipamentos Mecânicos Ltda,Analista de Métodos e Processos Pleno | Analista de PCP Pleno,2019-01-17,Nicole French,2019,Janeiro,1,-19.9532941,-44.0703408
Tecnocar Engenharia,Projetos de Engenharia,2019-01-17,Scott Jackson,2019,Janeiro,1,-19.8614996,-43.9394907
PUC Minas Oficial,Assistente administrativo,2019-01-16,Teresa Stanley,2019,Janeiro,1,-19.9228622,-43.992595
Autônomo,Instalador técnico,2019-01-16,Jason Lopez,2019,Janeiro,1,41.961419,-87.71169220000002
PFS Empreendimentos,Empreendedor,2019-01-15,Shannon Stafford,2019,Janeiro,1,26.0865281,-80.37395529999999
EVOHR,Consultor Protheus em Recursos Humanos,2019-01-15,William Hill,2019,Janeiro,1,44.50410429999999,-73.1823028
HiveSys,Engenheiro de software remoto,2019-01-15,Karen Jackson,2019,Janeiro,1,-19.9042131,-43.9134755
FCA Latam (Fiat Chrysler Automobiles),Project Chief - Brake Systems,2019-01-15,Michael Garcia,2019,Janeiro,1,42.65513869999999,-83.2305966
Griloano,Fotógrafo profissional,2019-01-15,Ryan Wheeler,2019,Janeiro,1,,
Neves & Pimenta Advogados,Advogado,2019-01-15,Emily Russo,2019,Janeiro,1,-17.6936426,-42.5165191
Deloitte,Business Analyst,2019-01-15,Dylan Nguyen,2019,Janeiro,1,34.7454105,-92.2749654
MARTINS LANNA / TCL Mineração - Tecnologia em Areia e Brita,Controlador de manutenção,2019-01-14,Chase Cox,2019,Janeiro,1,-19.8737502,-44.0988255
