Company,Position,Connected On,Full Name,ano,mes,mes_n,Latitude,Longitude,Cidade,País
Sonastério,Coordenador de projetos,2019-01-20,Madison Patel,2019,Janeiro,1,-20.101491,-43.928009,Nova Lima,BR
BN Express,CEO,2019-01-19,Debbie Huber,2019,Janeiro,1,40.6398574,-73.9779319,Brooklyn,US
Toro - Investimentos,Senior Talent Acquisition,2019-01-18,Tracie Baker,2019,Janeiro,1,-19.935331299999998,-43.9297169,Belo Horizonte,BR
FIEMG,Coordenadora de Educação Corporativa,2019-01-18,Kevin Miller,2019,Janeiro,1,-19.9332315,-43.92473629999999,Belo Horizonte,BR
Instituto Defesa Coletiva,Analista Administrativo,2019-01-17,Caleb Alvarez,2019,Janeiro,1,-19.930053100000002,-43.932593100000005,Belo Horizonte,BR
www.RogerLessa.com,CEO,2019-01-17,Christian Thompson,2019,Janeiro,1,-18.9566253,-48.2715755,Uberlandia,BR
União Equipamentos Mecânicos Ltda,Analista de Métodos e Processos Pleno | Analista de PCP Pleno,2019-01-17,Nicole French,2019,Janeiro,1,-19.9532941,-44.0703408,Contagem,BR
Tecnocar Engenharia,Projetos de Engenharia,2019-01-17,Scott Jackson,2019,Janeiro,1,-19.861499600000002,-43.9394907,Belo Horizonte,BR
PUC Minas Oficial,Assistente administrativo,2019-01-16,Teresa Stanley,2019,Janeiro,1,-19.9228622,-43.992595,Belo Horizonte,BR
Autônomo,Instalador técnico,2019-01-16,Jason Lopez,2019,Janeiro,1,41.961419,-87.71169220000002,Lincolnwood,US
PFS Empreendimentos,Empreendedor,2019-01-15,Shannon Stafford,2019,Janeiro,1,26.086528100000002,-80.37395529999998,Weston,US
EVOHR,Consultor Protheus em Recursos Humanos,2019-01-15,William Hill,2019,Janeiro,1,44.50410429999999,-73.18230279999999,Winooski,US
HiveSys,Engenheiro de software remoto,2019-01-15,Karen Jackson,2019,Janeiro,1,-19.904213100000003,-43.9134755,Belo Horizonte,BR
FCA Latam (Fiat Chrysler Automobiles),Project Chief - Brake Systems,2019-01-15,Michael Garcia,2019,Janeiro,1,42.65513869999999,-83.23059659999998,Auburn Hills,US
Griloano,Fotógrafo profissional,2019-01-15,Ryan Wheeler,2019,Janeiro,1,,,,
Neves & Pimenta Advogados,Advogado,2019-01-15,Emily Russo,2019,Janeiro,1,-17.6936426,-42.5165191,Capelinha,BR
